timestamp,hour,day_of_week,network_packet_size,is_attack,attack_type,connection_count,protocol,packet_per_minute,protocol_code
2025-03-01 00:00:00,0,5,343.4236643095963,0,,10,ICMP,34.34236643095963,2
2025-03-01 00:01:00,0,5,271.0154464969938,0,,15,HTTP,18.06769643313292,3
2025-03-01 00:02:00,0,5,364.2131275485968,0,,11,TCP,33.11028432259971,0
2025-03-01 00:03:00,0,5,413.56787441140983,0,,15,UDP,27.57119162742732,1
2025-03-01 00:04:00,0,5,275.5294882109048,0,,10,TCP,27.552948821090478,0
2025-03-01 00:05:00,0,5,266.34701389558546,0,,10,HTTP,26.634701389558547,3
2025-03-01 00:06:00,0,5,406.5678957293988,0,,18,UDP,22.587105318299933,1
2025-03-01 00:07:00,0,5,334.05051937559386,0,,15,UDP,22.270034625039592,1
2025-03-01 00:08:00,0,5,269.4578652615507,0,,7,TCP,38.4939807516501,0
2025-03-01 00:09:00,0,5,341.08274763581977,0,,11,UDP,31.00752251234725,1
2025-03-01 00:10:00,0,5,275.17847927904626,0,,25,TCP,11.00713917116185,0
2025-03-01 00:11:00,0,5,312.7374555114453,0,,26,ICMP,12.028363673517127,2
2025-03-01 00:12:00,0,5,314.91614387398624,0,,10,TCP,31.491614387398624,0
2025-03-01 00:13:00,0,5,192.58263816418244,0,,4,TCP,48.14565954104561,0
2025-03-01 00:14:00,0,5,186.50013034548707,0,,16,TCP,11.656258146592942,0
2025-03-01 00:15:00,0,5,256.2958219292824,0,,8,TCP,32.0369777411603,0
2025-03-01 00:16:00,0,5,227.84223533229772,0,,5,TCP,45.56844706645954,0
2025-03-01 00:17:00,0,5,322.3533621051644,0,,32,TCP,10.073542565786388,0
2025-03-01 00:18:00,0,5,245.36650298855469,0,,12,TCP,20.447208582379556,0
2025-03-01 00:19:00,0,5,179.19697528212427,0,,4,HTTP,44.79924382053107,3
2025-03-01 00:20:00,0,5,368.11038547855776,0,,28,TCP,13.146799481377062,0
2025-03-01 00:21:00,0,5,302.80877100235546,0,,9,ICMP,33.64541900026172,2
2025-03-01 00:22:00,0,5,329.5429099429842,0,,11,TCP,29.958446358453106,0
2025-03-01 00:23:00,0,5,221.378490244312,0,,14,HTTP,15.812749303165143,3
2025-03-01 00:24:00,0,5,268.344568340885,0,,23,UDP,11.66715514525587,1
2025-03-01 00:25:00,0,5,329.62930858827104,0,,11,HTTP,29.96630078075191,3
2025-03-01 00:26:00,0,5,240.05730019468604,0,,6,UDP,40.00955003244767,1
2025-03-01 00:27:00,0,5,348.88769229645453,0,,20,HTTP,17.444384614822727,3
2025-03-01 00:28:00,0,5,239.47179743888148,0,,6,TCP,39.91196623981358,0
2025-03-01 00:29:00,0,5,255.2695536562369,0,,8,UDP,31.908694207029612,1
2025-03-01 00:30:00,0,5,251.38505584781333,0,,10,UDP,25.138505584781335,1
